Defect ID,Title,Description,POC,Status,Priority,Severity,Date Created,Expected Time Required,Tags/Labels,Environment,Attachments,Comments
ID3699,Workflow: Shakeout Test,Update,Product owner,In Progress,Very High,Major,2024-09-11,sprint,Release 24.4,Devl,Analytics Task Note,Update
ID3383,Workflow: Regression Test,Develop,Tester,Created,High,Very Critical,2024-09-11,sprint,Release 24.3,UAT,WF Task Note,Update
ID4898,AWS Tasks,Maintain,Product owner,In Progress,Low,Critical,2024-09-11,monthly,Release 24.5,Devl,Analytics Task Note,Develop
ID2768,Workflow: Regression Test,Update,Dev,Hold,Low,Minor,2024-09-11,few days,Release 24.3,Devl,Analytics Task Note,Develop
ID7286,Analytics: Shakeout Test,Update,Business Analyst,Created,Low,Critical,2024-09-12,quarterly,Release 24.4,Devl,Analytics Task Note,Update
ID3865,Analytics: Regression Test,Develop,Product owner,In Progress,High,Critical,2024-09-13,yearly,Release 24.5,Prod,WF Task Note,Update
ID1075,Workflow: Regression Test,Maintain,Product owner,Hold,High,Minor,2024-09-14,sprint,Release 24.3,UAT,Share Point,Update
ID1243,Training,Develop,Product owner,Finished,High,Minor,2024-09-14,monthly,Release 24.5,Devl,WF Task Note,Develop
ID2328,Analytics: Shakeout Test,Update,Product owner,Finished,High,Critical,2024-09-15,monthly,Release 24.5,UAT,WF Task Note,Maintain
ID6345,Analytics: Smoke Test,Maintain,Tester,In Progress,High,Critical,2024-09-15,monthly,Release 24.5,UAT,Share Point,Develop
ID5079,AWS Tasks,Update,Dev,In Progress,Medium,Very Critical,2024-09-15,quarterly,Release 24.5,Devl,Share Point,Maintain
ID3436,Analytics: Smoke Test,Develop,Product owner,Created,High,Critical,2024-09-16,monthly,Release 24.5,Prod,Share Point,Develop
ID5866,Workflow: Shakeout Test,Update,Business Analyst,Finished,Very High,Very Critical,2024-09-17,monthly,Release 24.4,Devl,Share Point,Maintain
ID1542,Analytics: Shakeout Test,Update,Dev,In Progress,High,Critical,2024-09-17,monthly,Release 24.5,UAT,WF Task Note,Maintain
ID3257,AWS Tasks,Update,Dev,Finished,Very High,Minor,2024-09-18,few days,Release 24.5,Prod,Share Point,Develop
ID8245,Analytics: Test Plan,Maintain,Business Analyst,Finished,Medium,Critical,2024-09-19,quarterly,Release 24.5,Prod,Analytics Task Note,Develop
ID4152,Analytics: Regression Test,Update,Analyst,Hold,High,Minor,2024-09-20,weak,Release 24.5,UAT,Analytics Task Note,Maintain
ID5118,Workflow: Shakeout Test,Update,Dev,Hold,High,Critical,2024-09-20,few days,Release 24.3,Devl,WF Task Note,Develop
ID5452,Workflow: Regression Test,Maintain,Product owner,Hold,Medium,Minor,2024-09-22,sprint,Release 24.3,UAT,Analytics Task Note,Maintain
ID8054,Workflow: Regression Test,Update,Analyst,Finished,Low,Very Critical,2024-09-22,few days,Release 24.5,Devl,Analytics Task Note,Develop
ID2827,Workflow: Test Plan,Update,Business Analyst,Finished,Very High,Minor,2024-09-22,yearly,Release 24.3,Devl,Share Point,Update
